Song,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,65,16,"1,133",144,,Major,77,75,58,52,0,23,25
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5
S91,Karol G,1,2023,7,14,525,41,16011326,34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5
BESO,"Rauw Alejandro, ROSAL",2,2023,3,24,4053,50,357925728,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3
Take Two,BTS,1,2023,6,9,674,47,118482347,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3
Chemical,Post Malone,1,2023,4,14,2528,39,172825906,56,91,59,3,486,170,D,Major,50,37,90,0,0,12,5
New Jeans,NewJeans,1,2023,7,7,77,35,29562220,8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123,21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4
Tattoo,Loreen,1,2023,2,25,2988,59,201660859,74,102,145,18,925,150,D#,Minor,55,30,78,24,0,12,8
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961,19,23,24,3,88,120,F,Minor,84,96,71,18,0,34,17
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beele",3,2023,5,12,1094,34,90839753,40,58,47,8,203,127,B,Minor,82,89,85,4,0,23,6
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345,19,117,8,1,74,128,A,Minor,75,79,63,33,0,15,4
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784,161,115,246,9,638,143,A,Major,64,31,87,4,4,8,4
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,25,59,32,5,88,128,B,Major,78,59,65,10,0,26,5
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,10,126,7,0,148,130,E,Minor,82,69,83,3,0,27,5
OMG,NewJeans,1,2023,1,2,1783,27,430977451,26,124,15,1,22,127,A,Minor,80,74,77,36,0,11,4
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598,119,108,254,29,22,122,D,Minor,78,50,63,27,0,9,5
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132,31,37,31,0,189,140,,Major,63,22,54,46,0,12,8
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,3,88,1,0,52,110,G,Minor,76,96,72,32,0,9,4
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641,5,2,30,2,66,133,B,Minor,93,68,65,42,0,12,25
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388,17,29,26,3,208,97,,Major,79,92,89,5,0,6,5
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395,7,71,4,2,13,140,G,Minor,74,96,80,18,0,5,5
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544,7,76,3,1,93,128,A,Minor,81,90,77,1,0,9,5
Bye,Peso Pluma,1,2023,5,26,324,14,95053634,13,110,8,2,60,122,,Major,78,70,81,57,0,10,5
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632,14,88,66,3,72,160,A,Major,69,61,71,33,0,31,20
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275,4,14,12,5,56,192,B,Major,50,85,52,11,0,28,6
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885,19,143,10,6,15,138,G,Minor,78,89,83,10,0,12,5
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,94186466,17,60,28,1,44,90,A,Minor,60,13,53,4,0,21,4
Fin de Semana,"Oscar Maydon, Junior H",2,2023,1,13,592,14,307370144,11,84,6,1,30,98,,Major,70,37,54,6,0,9,8
Cheques,Shubh,1,2023,5,19,67,8,47956378,7,10,0,0,57,90,E,Minor,74,36,63,26,0,27,5
Better Than Revenge (Taylor's Version),Taylor Swift,1,2023,7,7,86,11,30343206,3,33,3,0,1,146,B,Minor,50,67,89,0,0,19,8
POLARIS - Remix,"Feid, Mora, Saiko, Quevedo",4,2023,6,8,773,33,57312735,20,46,21,8,99,170,G#,Minor,62,55,80,15,0,37,7
"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","Swae Lee, Lil Wayne, Offset, Metro Boomin",4,2023,6,2,551,4,86773632,13,46,20,1,10,146,B,Minor,61,20,48,21,0,12,6
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",5,2023,5,1,577,14,133753727,22,18,15,1,0,74,A#,Minor,53,24,67,11,0,10,28
"Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","Arijit Singh, Sachin-Jigar, Amitabha Bhattacharya",3,2023,5,15,178,6,64533040,6,71,1,0,31,100,E,Major,56,53,55,53,0,12,4
S-Class,Stray Kids,1,2023,6,2,290,19,65496046,9,101,5,0,73,105,F,Minor,89,67,78,9,0,7,33
Hits Different,Taylor Swift,1,2023,5,26,547,0,68616963,15,15,6,0,0,106,F,Major,67,24,78,15,0,30,4
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,10,161460990,15,92,21,2,26,132,D,Major,85,53,68,40,0,9,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,5,70106975,18,41,5,0,19,120,A,Major,78,5,30,21,0,13,5
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,13,113509496,44,34,25,1,171,155,C#,Major,82,51,39,2,0,9,49
FLOWER,JISOO,1,2023,3,31,839,18,232896922,20,110,20,0,69,124,A,Minor,84,64,39,3,0,11,4
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,0,37126685,5,17,5,0,0,135,A,Minor,77,28,55,18,0,22,15
Eyes Closed,Ed Sheeran,1,2023,3,23,2915,30,195576623,116,69,107,3,675,107,D,Major,78,39,53,30,0,11,6
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,0,46142772,23,21,31,0,0,90,G#,Major,62,7,62,6,0,58,6
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613,8,78,4,1,1,133,A,Minor,78,90,84,31,0,7,4
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538,1,0,9,0,0,110,F#,Minor,66,32,40,81,0,11,3
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396,8,96,5,0,56,105,C#,Major,80,69,78,28,0,11,14
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667,23,82,6,0,113,134,B,Major,76,61,58,6,0,16,3
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245,1,20,5,0,1,81,F#,Major,59,26,60,46,1,25,13
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666,7,29,51,1,29,154,F#,Major,63,75,92,31,0,91,5
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779,6,14,8,2,4,84,A,Minor,43,14,74,1,0,19,8
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987,39,14,48,2,3,93,G#,Major,79,58,62,11,0,11,23
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,58,70,43,0,182,142,A#,Minor,82,54,44,6,0,33,7
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyonce",2,2023,5,19,896,0,57089066,34,2,33,0,1,126,C#,Major,78,20,70,1,0,16,4
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689,3,10,3,0,0,101,F,Major,92,59,51,41,51,26,8
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328,8,57,76,2,49,154,F#,Major,59,63,89,18,0,80,9
Cupido,Tini,1,2023,2,14,1240,24,217672943,51,29,63,4,54,120,A,Major,91,63,58,52,0,31,22
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653,3,3,6,0,0,143,B,Major,83,25,69,4,0,23,12
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624,9,13,11,0,1,178,C#,Minor,62,56,66,18,0,12,5
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489,37,3,27,0,50,176,F#,Minor,50,44,76,10,0,32,5
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115,14,110,9,0,49,104,E,Minor,80,38,88,11,0,11,5
Haegeum,Agust D,1,2023,4,21,244,12,118810253,6,84,10,2,9,85,G,Major,70,83,84,31,0,47,30
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629,15,26,30,6,0,80,,Major,52,57,48,86,0,15,39
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,46,5,51,0,20,98,F,Major,44,36,41,50,0,38,5
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541,45,80,53,8,4,178,C#,Minor,79,58,78,34,0,11,25
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964,15,93,30,0,320,120,D,Major,77,94,66,65,0,38,3
I AM,IVE,1,2023,4,10,366,15,123132751,16,102,7,0,55,122,E,Minor,68,38,88,1,0,8,5
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075,8,14,12,2,33,96,D,Major,93,47,47,33,0,10,36
Super,SEVENTEEN,1,2023,4,24,271,12,91221625,16,103,9,0,55,137,G#,Major,77,35,88,16,0,17,9
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277,36,65,28,0,0,119,A,Minor,60,10,57,1,0,50,3
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946,0,0,0,0,0,148,A,Major,90,74,68,14,0,10,19
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338,4,64,4,2,37,182,A,Major,57,80,59,8,0,6,5
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644,16,90,10,0,64,110,B,Minor,76,26,70,1,0,41,6
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255,0,0,21,0,0,130,B,Minor,69,36,90,1,10,15,4
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704,17,13,27,0,43,120,G,Minor,80,33,70,22,0,9,4
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603,4,71,16,1,9,132,,Minor,59,56,82,12,0,12,6
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215,5,9,5,0,0,145,B,Minor,54,19,48,36,0,37,5
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354,4,72,5,0,5,120,G,Major,62,32,76,0,0,39,4
Rosa Pastel,Jasiel Nu,2,2023,2,2,200,4,90025258,8,77,2,1,1,123,G,Minor,70,86,68,24,0,11,4
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671,10,41,20,0,1,94,B,Major,82,53,67,34,0,9,8
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024,4,45,11,2,24,89,G,Minor,73,44,57,39,0,32,6
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995,20,8,15,0,6,87,F,Minor,65,71,56,4,0,15,20
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350,23,0,18,0,33,78,G#,Major,71,80,65,51,0,22,32
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276,8,1,13,0,0,96,F#,Minor,48,50,80,40,0,37,20
HAPPY,NF,1,2023,3,25,660,0,52722996,22,7,11,0,78,106,G,Major,73,22,86,31,0,12,4
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503,16,15,5,0,1,134,B,Minor,67,11,76,8,47,30,7
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410,29,9,12,0,52,100,A,Major,72,42,66,18,4,19,4
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601,5,48,2,1,9,142,G,Minor,70,76,79,26,0,11,7
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767,81,27,66,9,444,116,G,Major,90,96,73,62,0,9,4
Peaches (from The Super Mario Bros. Movie),Jack Black,1,2023,4,7,34,0,68216992,0,0,0,0,0,92,A#,Minor,71,41,31,79,0,10,5
Tormenta (feat. Bad Bunny),"Gorillaz, Bad Bunny",2,2023,2,24,1529,0,149778242,32,18,39,2,0,95,,Major,64,30,77,46,0,38,6
on the street (with J. Cole),"j-hope, J. Cole",2,2023,3,3,615,2,116599790,22,82,8,0,9,94,B,Minor,68,81,82,53,0,9,13
Private Landing (feat. Justin Bieber & Future),"Don Toliver, Future, Justin Bieber",3,2023,2,23,1190,0,105062254,29,3,18,0,19,137,C#,Minor,84,44,67,8,0,11,6
Everything I Love,Morgan Wallen,1,2023,1,31,579,0,95623148,11,54,0,0,103,104,G#,Major,56,72,85,0,0,15,3
Heaven,Niall Horan,1,2023,2,17,1553,2,144584800,61,6,48,0,150,92,F,Major,57,68,76,7,0,33,3
Sial,Mahalini,1,2023,1,23,134,4,166570053,4,6,0,0,23,120,D,Major,56,20,43,89,0,12,4
I Wrote The Book,Morgan Wallen,1,2023,1,31,430,0,83021468,15,17,0,0,0,144,D,Major,68,83,81,9,0,8,4
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2,2023,3,3,329,0,58890931,14,35,1,0,0,148,E,Major,50,49,76,12,0,12,3
Red Ruby Da Sleeze,Nicki Minaj,1,2023,3,3,1168,0,81419389,45,11,20,0,21,98,C#,Major,70,29,73,12,0,11,26
WANDA,Quevedo,1,2023,1,20,888,22,175399345,11,24,7,1,7,176,E,Minor,72,96,63,25,0,21,7
Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971,57,4,48,0,0,107,B,Minor,66,47,40,72,0,11,3
Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0,34450974,5,9,0,0,0,148,,Major,53,61,81,5,0,36,4
LLYLM,ROSAL,1,2023,1,27,1838,0,124988687,105,41,114,1,59,170,F#,Minor,56,56,63,13,0,19,27
I'm Not Here To Make Friends,"Sam Smith, Calvin Harris, Jessie Reyez",3,2023,1,27,1890,0,103787664,86,1,49,0,9,115,,Major,70,84,90,17,0,41,6
TRUSTFALL,P!nk,1,2023,1,27,2098,16,134255790,88,24,101,7,451,122,G#,Major,64,25,89,0,0,15,9
VIBE (feat. Jimin of BTS),"TAEYANG, Jimin",2,2023,1,13,415,2,152850295,15,40,21,1,15,100,,Major,79,60,68,7,0,26,4
Sugar Rush Ride,TOMORROW X TOGETHER,1,2023,1,27,359,0,107642809,12,56,13,0,13,125,A#,Minor,71,83,89,1,0,17,9
